S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
1,"   Akrajas Ali Umar, Suratun Nafisah, Siti Khatijah Md Saad, Aamna Balouch, Sin Tee Tan, Muhamad Mat Salleh, Munetaka Oyama, ", Poriferous microtablet of anatase TiO2 growth on an ITO surface for high-efficiency dye-sensitized solar cells.  ,Solar Energy Materials And Solar Cells,Solar Energy Materials and Solar Cells,5.03,http://www.elsevier.com/wps/find/journaldescription.cws_home/505675/description#description,2014,122,174–182.,
2,"A Mujeeb-Kazi, AG Kazi, I Dundas, A Rasheed, H Bux, P Chen, R Wang, SS Xu, T Mahmood:",Genetic diversity for wheat improvement as a conduit to food security,Advances in Agronomy,Advances in Agronomy,5.021,http://www.sciencedirect.com/science/journal/00652113,2013,122,", 179-257",
3,"Qazi M. A, Ocak Ü., Ocak M., and Memon S,  ","An excellent Cu(II) selective chemosensor based on calix[4]arene framework,",Analytica Chimica Acta, Analytica Chimica Acta http://dx.doi:10.1016/j.aca.2012.11.026,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2012,761(1),157-168,
4,"Naeemullah, Tasneem Gul Kazi, Mustafa Tuzen, Faheem Shah, Hassan Imran Afridi, Demirhan Citak,",Development of a new green non-dispersive ionic liquid microextraction method in a narrow glass column for determination of cadmium prior to couple with graphite furnace atomic absorption spectrometry,Analytica Chimica Acta," Analytica Chimica Acta,",4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,"2014,",,",  59-64.",
5,"Qazi M. A, Ocak Ü., Ocak M., and Memon S",An excellent Cu(II) selective chemosensor based on calix[4]arene framework,Analytica Chimica Acta,Anal Chim Acta ,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2013,761(1),157-168,
6,"S. S. Hassan, Y. Liu, Sirajuddin. A. R. Solangi, A. M. Bond, J. Zhang, ","Phosphomolybdate-doped-poly(3,4-ethylenedioxythiophene) coated gold nanoparticles: Synthesis, characterization and electrocatalytic reduction of bromate,",Analytica Chimica Acta,Anal. Chim. Acta,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2013,803,41-46,
7,"Syeda Sara Hassan, Yuping Liu, Sirajuddin, Amber R. Solangi, Alan M. Bond, Jie Zhang, “ ","Phosphomolybdate-doped-poly(3,4-ethylenedioxythiophene) coated gold nanoparticles: Synthesis, characterization and electrocatalytic reduction of bromated",Analytica Chimica Acta,Anal. Chim. Acta,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2013,803,41-46,
8,"Huma Shaikh, Najma Memon, MI Bhanger, SM Nizamani, A Denizli,",Core-shell molecularly imprinted polymer-based solid-phase microextraction fiber for ultra trace analysis of endosulfan I and II in real aqueous matrix through GC-microECD,Journal of Chromatography A," Journal of Chromatography A, http://dx.doi.org/10.1016/j.chroma.2014.02.035",4.258,http://www.elsevier.com/wps/find/journaldescription.cws_home/502688/description#description,2014,,,
9," A. R. Khaskheli, Jan Fischer, Ji?rí Barek, Vlastimil Vysko?cil, Sirajuddin,   M. I. Bhanger","Differential pulse voltammetric determination of paracetamol in tablet and urine samples at a micro-crystalline natural graphite–polystyrene composite film modified electrode,",Electrochim Acta, Electrochim Acta ,4.086,http://www.elsevier.com/wps/find/journaldescription.cws_home/205/description#description,2013,(84)  . 101,238 – 242,
10," Zafar Hussain Ibupoto, N Jamal, K Khun, Xianjie Liu and Magnus Willander  ","A potentiometric immunosensor based on silver nanoparticles decorated ZnO nanotubes, for the selective detection of d-dimer ",Sensors And Actuators B-Chemical,"Sensors and actuators. B, Chemical",3.84,http://www.elsevier.com/wps/find/journaldescription.cws_home/504104/description#description,2013,182, 104-111.,
11,"N. H. Kalwar, Sirajuddin,  S. T. H. Sherazi, A. R. Khaskheli, K. R. Hallam, T. B. Scott, Z. A. Tagar, S. S. Hassan, R. A. Soomro",Fabrication of small l-threonine capped nickel nanoparticles and their catalytic application,Applied Catalysis A: General,Appl. Catal. A ,3.674,http://www.elsevier.com/wps/find/journaldescription.cws_home/500856/authorinstructions,2013,453,54-59,
12,"Nazar H Kalwar,  Sirajuddin, Syed Tufail H Sherazi, Abdul R Khaskheli,  Keith R Hallam,  Thomas B Scott,  Zulfiqar A Tagar, Syeda S Hassan, Razium A Soomro,  ",Fabrication of Small L-Threonine Capped Nickel Nanoparticles and Their Catalytic Application,Applied Catalysis A: General,Applied Catalysis A: General,3.674,http://www.elsevier.com/wps/find/journaldescription.cws_home/500856/authorinstructions,2013,453,54-59,
13,"Zafar Hussain Ibupoto, K Khun, Jun Lu and Magnus Willander   ","The synthesis of CuO nanoleaves, structural characterization, and their glucose sensing application  ",Applied Physics Letters,Applied Physics Letters,3.515,http://apl.aip.org/,2013,102(10),,
14,"S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak",Graphite furnace atomic absorption spectrometric detection of vanadium in water and food samples after solid phase extraction on multiwalled carbon nanotubes,Talanta ,Talanta ,3.511,http://www.elsevier.com/wps/find/journaldescription.cws_home/525438/description#description,2013,116,205-209,
15,"S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak,  ",Graphite furnace atomic absorption spectrometric detection of vanadium in water and food samples after solid phase extraction on multiwalled carbon nanotubes,Talanta ,Talanta ,3.511,http://www.elsevier.com/wps/find/journaldescription.cws_home/525438/description#description,2013,116,205-209,
16,"  K. D. Brahman, T. G. Kazi J.A. Baig, H. I. Afridi, S.S. Arain, M.B. Arain",", Fluoride and arsenic exposure through water and grain crops in Nagarparkar, Pakistan",Chemosphere ,Chemosphere ,3.499,http://www.elsevier.com/wps/find/journaldescription.cws_home/362/description,-2014,"100, ", 182–189. ,
17,"Naeem Ullah, M. Tuzen, T.G. Kazi, D. Citak, M. Soylak",Pressure assisted ionic-liquid dispersive microextraction for vanadium coupled to  electrothermal atomic absorption spectrometry,Journal of Analytical Atomic Spectrometry,J Anal Atom Spectrom,3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,1441-1445,
18,"Faheem Shah, M. Soylak, T.G. Kazi, H.I. Afridi, ",Preconcentration of lead from aqueous solution with activated carbon cloth prior to analysis by flame atomic absorption spectrometry: a multivariate study.,Journal of Analytical Atomic Spectrometry,J. Anal. At. Spectrom (2013),3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,601-605,
19,"Faheem Shah, M. Soylak, T.G. Kazi, H.I. Afridi,  ",Preconcentration of lead from aqueous solution with activated carbon cloth prior to analysis by flame atomic absorption spectrometry: a multivariate study.,Journal of Analytical Atomic Spectrometry,J. Anal. At. Spectrom doi:10.1039/C3JA30387,3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,601-605,
20,"NaeemUllah, M.Tuzen, T.G. Kazi, D. Citak, M. Soylak",Pressure assisted  ionic-liquid dispersive microextraction for vanadium coupled to  electrothermal atomic absorption spectrometry,Journal of Analytical Atomic Spectrometry,Journal of Analytical Atomic Spectrometry ,3.396,http://pubs.rsc.org/en/journals/journalissues/ja,2013,28,141-1445,
21,"Sana Jawaid, Farah N Talpur, S T H Sherazi, Shafi M Nizamani, Abid A Khaskheli",Rapid detection of melamine adulteration in dairy milk by SB-ATR-Fourier transform infrared spectroscopy,Food Chemistry,Food Chem,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,141(3),3066,
22,"yaz Ali Memon, Najma Memon, Devanand L. Luthria, M. I. Bhanger","A., Assay of phenolic compounds from four species of Ber (Ziziphus mauritiana L.) Fruits: Comparison of three base hydrolysis procedures for quantification of total phenolic acids",Food Chemistry,Food Chem,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,139,496-502,
23,"Ayaz Ali Memon, Najma Memon, Devanand L. Luthria, M. I. Bhanger.,  ",Assay of phenolic compounds from four species of Ber (Ziziphus mauritiana L.) Fruits: Comparison of three base hydrolysis procedures for quantification of total phenolic acids,Food Chemistry,Food Chemistry,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,139,496–502,
24,"Sana Jawaid, F. N. Talpur, S.T.H. Sherazi,   ",Rapid detection of melamine adulteration in dairy milk by SB-ATR-Fourier transform infrared spectroscopy,Food Chemistry,Food Chemistry,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2013,141,3066-3071,
25," S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak, B. Hazer, ","Polyhydroxybutyrate-b-polyethyleneglycol block copolymer for the solid phase extraction of lead and copper in water, baby foods, tea and coffee samples.",Food Chemistry,Food Chemistry (,3.259,http://www.elsevier.com/wps/find/journaldescription.cws_home/405857/description,2014)  –,,152 75,
26,"Samejo, M.Q.; Memon, S.; Bhanger, M.I. and Khan, K.M",Synthesis of amino substituted p-tert-butylcalix[4]arene for the removal of Chicago Sky Blue and Tropaeolin 000 azo dyes from aqueous environment,Industrial Crops and Products," Ind. Crops Prod224 (1) 1424, 2013,
http://dx.doi:10.1007/s11270-012-1424 ",3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,45(1),293-295,
27,"amejo, M. Q., Memon, S., Bhanger, M. I. and Khan, K. M",Essential oil constituents of fruit and stem of Calligonum polygonoides,Industrial Crops and Products,. Industrial Crops and Products,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013," 45,",293-295,
28,"Laghari A.Q., Memon S., Nelofar A. and Laghari A.H",Tecomella undulata G. Don: A Rich Source of Flavonoids,Industrial Crops and Products,Ind. Crops Prod,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,43 (1) ,213-217,
29,"Laghari A.Q., Memon S., Nelofar A. and Laghari A.H. “ ",Tecomella undulata G. Don: A Rich Source of Flavonoids,Industrial Crops and Products,Ind. Crops Prod,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,43(1),213-217,
30,"Samejo, M.Q.; Memon, S.; Bhanger, M.I. and Khan, K.M. ",Essential oil constituents of fruit and stem of Calligonum polygonoides,Industrial Crops and Products,Ind. Crops Prod,3.208,http://www.elsevier.com/wps/find/journaldescription.cws_home/522825/description,2013,45(1),293-295,
31,"AK Shah, ZM Ali, AR Memon, AJ Laghari, MA Mughal, SFA Shah,",Exploitation of Low Cost Coal Fly Ash Adsorbent with Coagulants for the Treatment of Industrial Complex Nature Dyes Wastewater. ,International Journal of Scientific & Engineering Research, ...International Journal of Scientific & Engineering Research,3.2,http://www.ijser.org/,2013,4(9),190-119 ,
32,"Moina Akhtar Mughal, Akhtar Mughal, Zeenat M. Ali, Ghulam Zuhra Memon, Mohammad Yar Khuhawar, Hussain Saleem     ","Pak-Japan  Relations: A multidimensional engagement"" Asia Pacific:",International Journal of Scientific & Engineering Research,International Journal of Scientific &amp; Engineering Research http://www.ijser.org  ,3.2,http://www.ijser.org/,2013,volume 4 issue 9,,
33,"Altaf H. Nizamani 1 , Saeed A. Buzdar 2 , Bilal Rasool 3 , Nek M. Shaikh 1 , Hussain Saleem ",Computer - Based Frequency Drift Control  of Multiple  LASER s in Real - Time ,International Journal of Scientific & Engineering Research,nternational Journal of Scientific & Engineering Researc,3.2,http://www.ijser.org/,2013,4, 2229 - 5518 ,
34,"Altaf H. Nizamani 1 , Bilal Rasool 2 , M uhammad Tahir 2 ,3 , Nek M. Shaikh 1 , Hussain ",Adiabatic ION Shuttling Protocols in  Outer - Segmented - Electrode Surface ION Traps Saleem ,International Journal of Scientific & Engineering Research,International Journal of Scientific & Engineering Research,3.2,http://www.ijser.org/,2013,4, 2229 - 5518 ,
35,"YAG laser Nek. M. Shaikha,   M.S. Kalhoroa,  Abid Hussaina,  M.A. Baigb","Spectroscopic study of a lead plasma produced by the 1064 nm, 532 nm and 355 nm of a Nd:, c Spectrochimica",Spectrochimica Acta Part B-Atomic Spectroscopy, Acta Part B: Atomic Spectroscopy ,3.15,http://www.sciencedirect.com/science/journal/05848547,2013,"vol 88, 1",198-202,
36,"Nek. M. Shaikha, b, c, , ,  M.S. Kalhoroa,  Abid Hussaina,  M.A. Baigb","Spectroscopic study of a lead plasma produced by the 1064 nm, 532 nm and 355 nm of a Nd:YAG laser ",Spectrochimica Acta Part B-Atomic Spectroscopy,Spectrochimica Acta Part B: Atomic Spectroscopy,3.15,http://www.sciencedirect.com/science/journal/05848547,2013,88,198-202,
37,"IB Solangi, F Özcan, G Arslan, M Ersöz,  ","Transportation of Cr (VI) through calix [4] arene based supported liquid membrane, ",Separation And Purification Technology,Separation and Purification Technology ,3.065,http://www.elsevier.com/wps/find/journaldescription.cws_home/600251/description#description,2013,118,470-478,
38," Asif Ali Bhatti, Shahabuddin Memon and Najma Memon. ",Dichromate Extraction by Calix[4]arene Appended Amberlite XAD-4 Resin. ,Separation Science And Technology,  Sep Sci Technol ,3.065,http://www.elsevier.com/wps/find/journaldescription.cws_home/600251/description#description,", 2014.",49 (5) ,664-672,
39,"Hassan Imran Afridi, Tasneem Gul Kazi, Dermot Brabazon, Sumsun Naher, Farah Naz Talpur",Comparative metal distribution in scalp hair of Pakistani and Irish referents and diabetic mellitus patients,Clinica Chimica Acta,Clinica Chimica Acta,2.764,http://www.elsevier.com/wps/find/journaldescription.cws_home/506018/description#description,2013,16;415:207,14,
40,"H. I. Afridi, T. G. Kazi, F.N. Talpur, D. Brabazon, Sumsun Naher",Estimation of toxic elements in the samples of different cigarette and their impact on human health of Irish hypertensive consumers,Clinica Chimica Acta,Clinica Chimica Acta,2.764,http://www.elsevier.com/wps/find/journaldescription.cws_home/506018/description#description,2013,426,51-57,
41,"H. I. Afridi, T. G. Kazi, D. Brabazon, Sumsun Naher",Comparative metal distribution in scalp hair of Pakistani and Irish referents and diabetic mellitus patients,Clinica Chimica Acta,Clinica Chimica Acta doi: 10.1016/j.cca.2012.10.029,2.764,http://www.elsevier.com/wps/find/journaldescription.cws_home/506018/description#description,2013,415,207-214,
42,"M. B. Arain T.G. Kazi, J. A. Baig, H. I. Afridi, Sarajuddin, K. D. Brahman, H. Panhwar, S.S. Arain",Co-exposure of arsenic and cadmium through drinking water and tobacco smoking: Risk assessment on kidney dysfunction,Environmental Science and Pollution Research,Environmental Science and Pollution Research,2.757,http://www.springer.com/environment/journal/11356,2014,1,,
43,"Tasneem Gul Kazi, Faheem Shah, Hafeezur Rehman, Hassan Imran Afridi, Naeemullah, Sadaf Sadia Arain",Exposure of lead to mothers and their new born infants residents of industrial and urban areas of Pakistan,Environmental Science and Pollution Research,Environmental Science Pollution Research journal,2.757,http://www.springer.com/environment/journal/11356,2014 accepted,accepted -2014,,
44,"S.S. Arain, T.G. Kazi , H.I. Afridi, J.A. Arain,  Naeemullah, K.D. Brahman, ",Determination of nickel in blood and serum samples of oropharyngeal cancer patients consumed smokeless tobacco products by cloud point extraction coupled with flame atomic absorption spectrometry. ,Environmental Science and Pollution Research,Environmental Science Pollution Research journal (accepted).,2.757,http://www.springer.com/environment/journal/11356,accepted,3,,
45,"hatti, A.A.; Memon S.; Memon N.; Bhatti, A.A. and Solangi,", B I.B. Evaluation of chromium(VI) sorption efficiency of modified Amberlite XAD-4 resin,Arabian Journal of Chemistry, Arab. J. Chem.,2.684,NA,2014 accepted,,,
46,"Memon, S. Kamboh, M.A.; Bhatti, A.A.; Solangi, I.B.; and Sherazi S.T.H. ",dsorption of direct black-38 azo dye on p-tert-butylcalix[6]arene immobilized material. ,Arabian Journal of Chemistry, Arab. J. Chem. ,2.684,NA,2014,7 ( 1) ,125–131 ,
47,"UA Qureshi, AR Solangi, S. Q Memon, SI Hyder Taqvi",Utilization of Pine Nut Shell derived carbon as an efficient alternate for sequestration of Phthalates from aqueous system,Arabian Journal of Chemistry, Arabian J. Chem DOI: 10.1016/j.arabjc.2013.08.018 4,2.684,NA,2013,,,
48," M. Ali, S.T.H. Sherazi, S.A. Mahesar.",Quantification of Erythromycin in Pharmaceutical Formulation by Transmission Fourier Transform Infrared Spectroscopy.,Arabian Journal of Chemistry,Arab J Chem ,2.684,NA,2013,,,
49,"Bhatti, A.A.; Memon S.; Memon N.; Bhatti, A.A. and Solangi, I.B",Evaluation of chromium(VI) sorption efficiency of modified Amberlite XAD-4 resin,Arabian Journal of Chemistry,Arab J Chem (Accepted),2.684,NA,2013,55,,
50,"Muhammad Afzal Kamboh, Asif Ali Bhatti, Imam Bakhsh Solangi, S.T.H. Sherazi, Shahabuddin Memon","Identification of errors in antibiotics’ prescriptions and prescription writing trends in areas of Hyderabad Sindh, Pakistan",African journal of pharmacy and pharmacology,African journal of pharmacy and pharmacology,,NA,2013,,,
51,"Memon, S. Kamboh, M.A.; Bhatti, A.A.; Solangi, I.B.; and Sherazi S.T.H. ",Adsorption of direct black-38 azo dye on p-tert-butylcalix[6]arene immobilized material,Arabian Journal of Chemistry,Arab J Chem doi: 10.1016/j.arabjc.2013.06.033 (accepted),2.684,NA,accepted,,,
52,"Asif Ali Bhatti, Shahabuddin Memon, Najma Memon, Ashfaque Ali Bhatti, Imam Bakhsh Solangi","Evaluation of Chromium (VI) Sorption Efficiency of Modified Amberlite XAD-4 Resin,",Arabian Journal of Chemistry,Arabian Journal of Chemistry,2.684,NA,2013,,,
53,"S. T. H. Sherazi, Muhammad Ali, S. A. Mahesar,  ","Quantification of Erythromycin in Pharmaceutical Formulation by Transmission Fourier Transform Infrared Spectroscopy,",Arabian Journal of Chemistry,"Arabian Journal of Chemistry, (Accepted)",2.684,NA,accepted,,,
54," Umair A. Qureshi, Amber R. Solangi,  Saima Q. Memon,  S. Iqleem H. Taqvi,  ",Utilization of Pine Nut Shell derived Carbon as an efficient alternate for the sequestration of Phthalates from aqueous system,Arabian Journal of Chemistry,Arb J Chem 2013 (in press).,2.684,NA,2013,,,
55,"Minhas F.T., Memon S., Bhanger M.I., Nadeem I., and Mujahid M. ",Solvent Resistant Thin Film Composite Nanofiltration Membrane: Characterization and Permeation Study,Applied Surface Science, Appl. Surf. Sci,2.538,http://www.elsevier.com/wps/find/journaldescription.cws_home/505669/description#description,2013,282(1),887-897,
56," Y. Junejo, Sirajuddin, A. Baykal, M. Safdar, A. Balouch,","A novel green synthesis and characterization of Ag NPs with its ultra-rapid catalytic reduction of methyl green dye, Accepted in ",Applied Surface Science,  Appl. Surf. Sci   :,2.538,http://www.elsevier.com/wps/find/journaldescription.cws_home/505669/description#description,2014 ;,290 (1), 499–503.,
57,"K Khun, Zafar Hussain Ibupoto, C O. Chey, Jun Lu, Omer Nur and Magnus Willander   ",Comparative study of ZnO nanorods and thin films for chemical and biosensing applications and the development of ZnO nanorods based potentiometric strontium ion sensor,Applied Surface Science,Applied Surface Science,2.538,http://www.elsevier.com/wps/find/journaldescription.cws_home/505669/description#description,2013,268,37-43,
58,"K. Khun, Zafar Hussain Ibupoto and Magnus Willander   ",Urea Assisted Synthesis of Flower Like CuO Nanostructures and Their Chemical Sensing Application for the Determination of Cadmium Ions,Electroanalysis,Electroanalysis,2.502,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4109,2013,25(6,1425-1432,
59,"K. D Brahman, T. G. Kazi, H. I. Afridi, S. Naseem, S. S. Arain, S.K. Wadhwa, F. Shah ",Simultaneously evaluate the toxic levels of fluoride and arsenic species in underground water of Tharparkar and possible contaminant sources: A multivariate study ,Ecotoxicolgy and Environmental Safety,Ecotoxicol Environ Safety,2.482,http://www.sciencedirect.com/science/journal/01476513,2013,89,95-107,
60,"T. G. Kazi, A. Q. Shah, H. I. Afridi, N. A. Shah; M. B.Arain,",Hazardous impact of organic arsenical compounds in chicken feed on different tissues of broiler chicken and manure,Ecotoxicolgy and Environmental Safety,Ecotoxicol Environ Safety,2.482,http://www.sciencedirect.com/science/journal/01476513,2013,87,120-123,
61,"Arain, S.S., Kazi, T.G., Arain, J.B., Afridi, H.I., Brahman, K.D., Shah, F., Naeemullah, Panhwar, A.H","Simultaneous preconcentration of toxic elements in artificial saliva extract of smokeless tobacco product, mainpuri by cloud point extraction method Ecotoxicology and environmental safety",Ecotoxicolgy and Environmental Safety,Ecotoxicol Environ Safety ,2.482,http://www.sciencedirect.com/science/journal/01476513,2013,"92,",289–296.,
62,"T. G. Kazi, A. Q. Shah, H. I. Afridi, N. A. Shah; M. B.Arain,  ",Hazardous impact of organic arsenical compounds in chicken feed on different tissues of broiler chicken and manure,Ecotoxicolgy and Environmental Safety,Ecotoxicolgy and Environmental Safety doi: 10.1016/j.ecoenv.2012.10.012,2.482,http://www.sciencedirect.com/science/journal/01476513,2012,87,120-123,
63,"Arain, S.S., Kazi, T.G., Arain, J.B., Afridi, H.I., Brahman, K.D., Shah, F., Naeemullah, Panhwar, A.H  ","Simultaneous preconcentration of toxic elements in artificial saliva extract of smokeless tobacco product, mainpuri by cloud point extraction method Ecotoxicology and environmental safety",Ecotoxicolgy and Environmental Safety,Ecotoxicology and Environmental Safety,2.482,http://www.sciencedirect.com/science/journal/01476513,2013,92,",289–296",
64,"Mazhar Ali Abbasi, Zafar Hussain Ibupoto, Mushtaque Hussain, Omer Nur and Magnus Willander   ",The fabrication of white light-emitting diodes using the n-ZnO/NiO/p-GaN heterojunction with enhanced luminescence,Nanoscale Research Letters,Nanoscale Research Letters,2.481,http://www.springer.com/materials/nanotechnology/journal/11671,2013,8(320),,
65," Hussain, A.I., Anwar, F., Chatha, S.A.S., Latif, S., Sherazi, S.T.H., Ahmad, A., Worthington, J., Sarker, S.D","Chemical composition and bioactivity studies of the essential oils from two Thymus species from the Pakistani flora, ",Lebensmittel-Wissenschaft Und-Technologie-Food Science And Technology,LWT - Food Sci Technol ,2.468,http://www.elsevier.com/wps/find/journaldescription.cws_home/622910/description,2013,"50,", 185-192,
66,"Zaheer A. Chandio, Farah N. Talpur, Humaira Khan, H.I. Afridi, Ghulam Quadir Khaskheli","Determination of cadmium and zinc in vegetables with online FAAS after simultaneous pre-concentration with 1,5-diphenylthiocarbazone immobilised on naphthalene.",Food Additives & Contaminants Part A, Food Addi & Contam: Part A,2.341,http://www.tandf.co.uk/journals/titles/0265203X.asp,2013,30(1),110-113,
67,"amran Abro, S. A. Mahesar, Seema Iqbal, Shahnaz Perveen.",K Quantification of malachite green in fish feed samples utilizing liquid chromatography tandem mass spectrometry with monolithic column. ,"Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment","Food Addit Contam Part A, ",2.341,http://www.tandf.co.uk/journals/titles/0265203X.asp,"2014,  ","31 (5),",827-32.,
68,"Zaheer A. Chandio, Farah N. Talpur, Humaira Khan, H.I. Afridi, Ghulam Quadir Khaskheli.  ","Determination of cadmium and zinc in vegetables with online FAAS after simultaneous pre-concentration with 1,5-diphenylthiocarbazone immobilised on naphthalene",Food Additives & Contaminants: Part A,Food Additives & Contaminants: Part A,2.341,http://www.tandf.co.uk/journals/titles/0265203X.asp,2013,30(1),110-113,
69,"Azam Khan, Mushtaque Hussain, Mazhar Ali Abbasi, Zafar Hussain Ibupoto, Omer Nur and Magnus Willander    ",Study of transport properties of copper/zinc-oxide-nanorods-based Schottky diode fabricated on textile fabric,Semiconductor Science And Technology,Semiconductor Science and Technology,2.206,http://www.iop.org/Journals/0268-1242,2013,28(12),125006,
70,"A. R. Khaskheli, Sirajuddin,   S.T.H. Sherazi, S.A. Mahesar, Aftab A. Kandhro, Nazar Kalwar, M. Ali Mallah",Estimation of ibuprofen in urine and tablet formulations by Transmission Fourier Transform Infrared Spectroscopy by partial least square,Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy,Spectrochim Acta A ,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description,2013,102,403 – 407,
71,"A. A. Kandhro, A. H. Laghari, S. A. Mahesar, R. Saleem, A. Nelofar, S. T. Khan, S. T. H. Sherazi.",Application of Attenuated Total Reflectance Fourier Transform Infrared Spectroscopy for Determination of Cefixime in Oral Pharmaceutical Formulations.,Spectrochimica Acta Part A-Molecular And Biomolecular Spectroscopy,Spectrochim Acta part A ,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description,"2013,",115,51-56.,
