Faculty/ Department,Name of Author,Title of Research Paper,Name of Journal,Volume#,Page#,Category/ IF,source
NCEAC,"Pekiner, Ozlem Zeynep; Naeemullah; Tuzen, Mustafa",Preconcentration and speciation of vanadium by three phases liquid-liquid microextraction prior to electrothermal atomic absorption spectrometry,J IND ENG CHEM,20,10.1016/j.jiec.2013.08.037,ISI,
NCEAC,"S.S. Arain, T.G. Kazi , H.I. Afridi, J.A. Arain,  Naeemullah, K.D. Brahman, ",Preconcentration of toxic elements in artificial saliva extract of different smokeless tobacco products by dual-cloud point extraction,Microchemical Journal,"112, January 2014, ",42-49,ISI,NA
NCEAC,"S.S. Arain, T.G. Kazi , H.I. Afridi, J.A. Arain,  Naeemullah, K.D. Brahman, ",Preconcentration of toxic elements in artificial saliva extract of different smokeless tobacco products by dual-cloud point extraction,Microchemical Journal,"112, January 2014, ",42-49,,NA
IARSCS,"Shah, Ambreen; Khuhawar, M. Y.; Shah, Asif Ali","Preparation and Characterization of Poly Metal Complexes Derived from 5,5 '-Methylenebis(2-Hydroxy Benzaldehyde) and 6,6 '-Methylenebis(2-hydroxy naphthaldehyde) with Hydrazine and 4-Amino Phenyl Ether",ASIAN J CHEM,26,,ISI,
NCEAC,"Farrukh, Sarah; Minhas, Fozia T.; Hussain, Arshad; Memon, Shahabuddin; Bhanger, M. I.; Mujahid, M.","Preparation, Characterization, and Applicability of Novel Calix[4] arene- Based Cellulose Acetate Membranes in Gas Permeation",J APPL POLYM SCI,131,,ISI,
Pharmacy,"Ghoto, M.A., Imran Suheriyani, A. Dayo",Prescibing trend of of private consultant in Hyd,Int. J. of Adv. Res.,2(3),956-962,1.659,
Pharmacy,"Fahad Jibran Siyal, Abdullah Dayo, Jawaid Akbar Siyal",Prescription trend of challenging problems in cardiac patients,Int. J. Pharm. Sci. Rev. Res.,24(1),263-267,1.704,
Pharmacy,"Mudassar Iqbal Arain, Muhammad Ali Ghoto, Abdullah Dayo",Prevalence of self medication in the urban settings of Hyderabad,"International journal of biology, pharmacy and allied sciences",3(12),2744-2752,0.812,
Biochemistry,"Sumera Qureshi, Allah Buxghanghro,Shista Khan, Ambreen Shah.Http://Www.Als-Journal.Com/Manuscriptid30-84-1/",Protein Toxicity In Kotri Paint Industry Workers Exposed To Phthalic Anhydride And TrimelliticAnhydrine.,International Journal Of Advancements In Life Sciences,1 (2),Pp: 3-8,,
NCEAC,"Memon, Shahabuddin; Laghari, Abdul Hafeez; Kandhro, Aftab A.; Memon, Fakhar N.; Nelofar, Aisha",Purification of flavonoid metal complexes from Alhagi camelorum with calix[4]arene based impregnated resin,ANAL METHODS-UK,6,10.1039/c4ay00167b,ISI,
FWB,"Punhal, Lashari; Laghari, Muhammad Younis; Narejo, Naeem Tariq; Zhang, Xiaofeng; Xu, Peng; Sun, Xiaowen; Zhang, Yan",QTL for Short-Duration Vigorous Swimming Movements in Common Carp (Cyprinus carpio L.) Based on LDH Activity,PAK J ZOOL,46,,ISI,
NCEAC,"Ali, M.; Sherazi, S. T. H.; Mahesar, S. A.",Quantification of erythromycin in pharmaceutical formulation by transmission Fourier transform infrared spectroscopy,ARAB J CHEM,7,10.1016/j.arabjc.2012.09.003,ISI,
NCEAC,"Abro, Kamran; Mahesar, Sarfaraz Ahmed; Iqbal, Seema; Perveen, Shahnaz",Quantification of malachite green in fish feed utilising liquid chromatography-tandem mass spectrometry with a monolithic column,FOOD ADDIT CONTAM A,31,10.1080/19440049.2014.893398,ISI,
NCEAC,"Jawaid, Sana; Talpur, Farah N.; Afridi, Hassan Imran; Nizamani, Shafi M.; Khaskheli, Abid A.; Naz, Saba",Quick determination of melamine in infant powder and liquid milk by Fourier transform infrared spectroscopy,ANAL METHODS-UK,6,10.1039/c4ay00558a,ISI,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Quran men Shaqq ul Qamar ji Haqiqat aen un jy asarat jo Tahqiqi Jaezo,"Peace, Department of Islamic Culture, University of sindh Jamshoro",,Accepted for Publication,Z,
,"Pakistan Study Center University of Sindh, Jamshoro.    ",Ramification of Black Magic in Pakistan,Published in Gross roots, Vol. XLVII No. I ,,Z,NA
,"Pakistan Study Center University of Sindh, Jamshoro.    ",Ramification of Black Magic in Pakistan,Published in Gross roots, Vol. XLVII No. I ,,Z,NA
NCEAC,"Safdar, M.; Junejo, Y.; Arman, K.; Abasiyanik, M. F.",Rapid Bovine and Caprine species Identification in Ruminant Feeds by Duplex Real-Time PCR Melting Curve Analysis Using EvaGreen Fluorescence Dye,MOL BIOTECHNOL,56,10.1007/s12033-014-9756-y,ISI,
NCEAC," S.Khan, M. Soylak, T.G. Kazi",Rapid ionic liquid-based ultrasound assisted dual magnetic microextraction to preconcentrate and separate cadmium -4-(2-thiazolylazo)-resorcinol complex from environmental and biological samples.,Spectrochimica Acta Part A,"123, ",194–199,2.129,http://www.elsevier.com/wps/find/journaldescription.cws_home/525436/description#description
NCEAC,"Khan, Sumaira; Kazi, Tasneem Gul; Soylak, Mustafa",Rapid ionic liquid-based ultrasound assisted dual magnetic microextraction to preconcentrate and separate cadmium-4-(2-thiazolylazo)-resorcinol complex from environmental and biological samples,SPECTROCHIM ACTA A,123,10.1016/j.saa.2013.12.065,ISI,
NCEAC,"Memon, Fakhar N.; Memon, Shahabuddin; Minhas, Fozia T.",Rapid transfer of methyl red using calix[6]arene as a carrier in a bulk liquid membrane,CR CHIM,17,10.1016/j.crci.2013.09.015,ISI,
NCEAC,"Afridi, Hassan Imran; Kazi, Tasneem Gul; Talpur, Farah Naz; Naher, Sumsun; Brabazon, Dermot",Relationship between Toxic Metals Exposure via Cigarette Smoking and Rheumatoid Arthritis,CLIN LAB,60,10.7754/Clin.Lab.2014.131117,ISI,
NCEAC, Memon S.; Memon N. and Memon S,Removal of carbofuran and methylparathion from aqueous media through calix[4]arene based impregnated resin. ,"Desal. Water Treat 1-11, ",,,0.988,http://www.deswater.com/
NCEAC,"Memon S., Memon N. and Memon S.",Removal of parathion from aqueous media through p-tert-butylcalix[4]arene based modified silica. , Pak. J. Anal. Environ. Chem,,,Z,NA
NCEAC,"Memon S., Memon N. and Memon S.",Removal of parathion from aqueous media through p-tert-butylcalix[4]arene based modified silica. , Pak. J. Anal. Environ. Chem,,,Z,NA
Commerce,"Jhatial, A.A, Conelius, N. & Wallace, J.",Rhetorics and realities of management practices in Pakistan,Business History,"56, issue 3",456-484,0.27,
,"Khan, Qaisar; Sultana, Nighat; Bughio, Qasim; Naz, Arab",Role of Language in Gender Identity Formation in Pakistani School Textbooks,INDIAN J GEND STUD,21,10.1177/0971521513511200,ISI,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Roya –e Sadiqa Anbiya key Khuwab orr un ki Fazeelat wa Ahmiyat,The Islamic Culture Bi Annual Research Refereed Journal Shaikh Zayed Islamic Center University of Karachi ISSN: 1813-775  (Urdu Section),Vol: (xxx),PP: 49-56,Z,
,"Memon, Imran; Domenic, Kamenyi; Memon, Hina; Akhtar, Rizwan; Yong, Wang; Zhang, Fengli",Rumor Riding: An Anonymity Approach for Decentralized Peer to Peer Systems,WIRELESS PERS COMMUN,79,10.1007/s11277-014-1878-9,ISI,
NCEAC,"ana Jawaid, Farah Naz Talpur, Hassan Imran Afridi, Shafi Ahmed Nizamani, Abid Ali Khaskheli and   Saba Naz.",S Quick determination of melamine in infant powder and liquid milk by Fourier Transform Infrared spectroscopy.,Analytical Methods. DOI: 10.1039/C4AY00558A,,,1.938,http://pubs.rsc.org/en/journals/journalissues/ay
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Sahabiyat ki sher say dilchaspi oor Rasaee Shaeri,Tahqiq Bi-Annual Research JournalISSN: 2071-467 ,vol: 28,PP: 166-175,Z,
NCEAC,"Mahesar, S. A.; Kandhro, Aftab A.; Khaskheli, Abdul Rauf; Talpur, M. Y.; Sherazi, S. T. H.",SB-ATR FTIR Spectroscopic Monitoring of Free Fatty Acids in Commercially Available Nigella sativa (Kalonji) Oil,J SPECTROSC,,10.1155/2014/510890,ISI,
chemistry,"Siyal, Ali N.; Memon, Saima Q.; Elci, Aydan; Akdogan, Abdullah; Hol, Aysen; Kartal, Aslihan A.; Elci, Latif",Schiff base-functionalised styrofoam resin for preconcentration of metal ions in wastewater and wastewater-irrigated vegetables samples,INT J ENVIRON AN CH,94,10.1080/03067319.2014.974590,ISI,
chemistry,"Memon, Saima Q.; Memon, Najma; Mallah, Arfana; Soomro, Rubina; Khuhawar, M. Y.",Schiff Bases as Chelating Reagents for Metal Ions Analysis,CURR ANAL CHEM,10,,ISI,
chemistry,"Mallah, Arfana; Memon, Saima Qayyum; Solangi, Amber Rehana; Khan, Abdullah; Khuhawar, Muhammad Yar; Bhanger, Muhammad Iqbal","Separation and Determination of Chromium (III) Chromium (VI), Gold (III) and Arsenic (V) by Capillary Zone Electrophoresis Using 2-Acetylpyridine-4-phenylthiosemicarbazone as Complexing Reagent",J CHEM SOC PAKISTAN,36,,ISI,
Languages,Prof. Dr. Hafiz Abdul Ghani Shaikh,Shah Abdul Latif Poetry Reflects the Quranic verses of Islamic Traditions,"Irjah International Research Journal of Arts and Humanities University of Sindh, Pakistan ISSN: 1016- 9342.",Vol: 42,PP: 199-210,Z,
Geology,"Agheem, Muhammad Hassan; Shah, Mohammad Tahir; Khan, Tahseenullah; Murata, Mamoru; Arif, Muhammad; Dars, Humaira","Shigar valley gemstones, their chemical composition and origin, Skardu, Gilgit-Baltistan, Pakistan",ARAB J GEOSCI,7,10.1007/s12517-013-1045-8,ISI,
Physical Education,Dr. Soniha Aslam,Significance of advance technology using modern equipment in International sports competitions,The Shield,9,58-65,Y,
NCEAC,"Memon, Shahabuddin; Memon, Fakhar N.; Durmaz, Fatih; Memon, Naeem A.; Memon, Ayaz A.; Kara, Huseyin",Simultaneous determination of some basic dyes using p-tetranitrocalix[4]arene-appended silica-based HPLC column,ANAL METHODS-UK,6,10.1039/c4ay01046a,ISI,
IARSCS,"Hayat, Amir; Jahangir, Taj Muhammad; Khuhawar, Muhammad Yar; Alamgir, Malik; Siddiqui, Amna Jabbar; Musharraf, Syed Ghulam",Simultaneous HPLC determination of gamma amino butyric acid (GABA) and lysine in selected Pakistani rice varieties by pre-column derivatization with 2-Hydroxynaphthaldehyde,J CEREAL SCI,60,10.1016/j.jcs.2014.05.011,ISI,
NCEAC,"Kandhro, Ghulam A.; Soylak, Mustafa; Kazi, Tasneem Gul",Solid Phase Extraction of Thorium on Multiwalled Carbon Nanotubes Prior to UV-Vis Spectrophotometric Determination in Ore Samples,ATOM SPECTROSC,35,,ISI,
NCEAC,"Arain, Salma Aslam; Kazi, Tasneem G.; Afridi, Hassan Imran; Abbasi, Abdul Rasool; Baig, Jameel Ahmed; Panhwar, Abdul Haleem; Ullah, Naeem","Solid phase microextraction of trace levels of copper in serum samples of hepatitis B patients, on activated carbon cloth modified with an ionic liquid by using a syringe mountable filter technique",J ANAL ATOM SPECTROM,29,10.1039/c4ja00304g,ISI,
Physiology,"Liu, Yu-Ru; Laghari, Zulfiqar A.; Novoa, Carolina A.; Hughes, Jaime; Webster, Jamie R. M.; Goodwin, Paul E.; Wheatley, Sally P.; Scotting, Paul J.",Sox2 acts as a transcriptional repressor in neural stem cells,BMC NEUROSCI,15,10.1186/1471-2202-15-95,ISI,
IARSCS,"Alamgir, Malik; Hayat, Amir; Majidano, Asghar Ali; Khuhawar, Muhammad Yar","Spectrophotometric Determination of Metformin in Pharmaceutical Preparations, Serum and Urine using Benzoin as Derivatizing Reagent",J CHEM SOC PAKISTAN,36,,ISI,
NCEAC,"Esir, S.; Junejo, Y.; Baykal, A.; Toprak, M.; Sozeri, H.","SrFe12O19/Zn0.65Ni0.25Cu0.1Fe2O4 Core-Shell Nanocomposite: Synthesis, Chracterization and Catalytic Activity in Aqueous Solution",J INORG ORGANOMET P,24,10.1007/s10904-014-0031-2,ISI,
Plant Sciences,"Ahmed, Sania; Bux, Hadi; Rasheed, Awais; Kazi, Alvina Gul; Rauf, Abdul; Mahmood, Tariq; Mujeeb-Kazi, Abdul",Stripe rust resistance in Triticum durum - T-monococcum and T-durum - T-urartu amphiploids,AUSTRALAS PLANT PATH,43,10.1007/s13313-013-0237-8,ISI,
SU Laar Campus,Tayyaba Makhdoom,Students' attitude towards business studies,The Sindh University Journal of Education,2014 vol: 43,,,
Pharmacy,"Naheed Memon, Muhammad Ali Ghoto, Abdullah Dayo",Study on drug-drug interaction in prescription of hypertensive patients,Jokull Journal,"vol: 64, No. 5",230-40,1.604,
chemistry,"Siyal, Ali N.; Elci, Latif; Memon, Saima Q.; Akdogan, Abdullah; Hol, Aysen; Kartal, Aslihan Arslan; Khuhawar, Muhammad Yar",Synthesis and characterisation of novel chelating resin for selective preconcentration and trace determination of Pb(II) ions in aqueous samples by innovative microsample injection system coupled flame atomic absorption spectrometry,INT J ENVIRON AN CH,94,10.1080/03067319.2013.871716,ISI,
,"Junejo, Y.; Guner, A.; Baykal, A.",Synthesis and characterization of amoxicillin derived silver nanoparticles: Its catalytic effect on degradation of some pharmaceutical antibiotics,APPL SURF SCI,317,10.1016/j.apsusc.2014.08.133,ISI,
chemistry,"Ali N. Siyal, Latif Elçi, Saima Q. Memon, Abdullah Akdogan, Aysen Hol, Aslihan  Arslan Kartal and Muhammad Yar Khuhawar",Synthesis and characterization of novel chelating resin for selective preconcentration and trace determination of Pb(II) ions in aqueous samples by innovative microsample injection system coupled flame atomic spectrometry  ,International Journal Environmental Analytical Chemistry,94 (8) ,743-755 1. ,1.321,http://www.tandf.co.uk/journals/titles/03067319.html
NCEAC,"Syed Tufail Hussain Sherazi, Razium Ali Soomro, Siraj Uddin, Najma Memon, ","Synthesis and Characterizations of Highly Efficient Copper Nanoparticles and their Use in Ultra Fast Catalytic Degradation of Organic Dyes,","Advance Material Research, ",829,93,,http://www.scientific.net/AMR
NCEAC,"Syed Tufail Hussain Sherazi, Razium Ali Soomro, Siraj Uddin, Najma Memon, ","Synthesis and Characterizations of Highly Efficient Copper Nanoparticles and their Use in Ultra Fast Catalytic Degradation of Organic Dyes,","Advance Material Research, ",829,93,,http://www.scientific.net/AMR
NCEAC,"Bhatti, Asif Ali; Memon, Shahabuddin; Memon, Najma",Synthesis and Dichromate Extraction Study of Calix[4]arene Derivative,POLYCYCL AROMAT COMP,34,10.1080/10406638.2013.857357,ISI,
NCEAC,"Bhatti, A.A., Memon S. and Memon N",Synthesis and Dichromate Extraction Study of Calix[4]arene Derivative. , Polycyclic Aromatic Compounds ,34 (2) ,"103-114, ",0.833,http://www.tandfonline.com/openurl?genre=journal&issn=1040-6638
NCEAC,"Syed Tufail Hussain Sherazi, Razium Ali Soomro, Sirajuddin, Najma Memon,  ","Synthesis of Air Stable Copper Nanoparticles And Their Use In Catalyis, ",Advanced Materials Research doi:10.4028/www.scientific.net/AMR.829.93,829,93-99,,http://www.scientific.net/AMR
NCEAC,"Syed Tufail Hussain Sherazi, Razium Ali Soomro, Sirajuddin, Najma Memon,  ","Synthesis of Air Stable Copper Nanoparticles And Their Use In Catalyis, ",Advanced Materials Research doi:10.4028/www.scientific.net/AMR.829.93,829,93-99,,http://www.scientific.net/AMR
chemistry,"Panhwar, Qadeer K.; Memon, Shahabuddin",Synthesis of Cr(III)-Morin Complex: Characterization and Antioxidant Study,SCI WORLD J,,10.1155/2014/845208,ISI,
,"Taha, Muhammad; Ismail, Nor Hadiani; Ali, Muhammad; Khan, Khalid M.; Jamil, Waqas; Kashif, Syed Muhammad; Asraf, Mohammad",Synthesis of indole-2-hydrazones in search of potential leishmanicidal agents,MED CHEM RES,23,10.1007/s00044-014-1082-1,ISI,
IARSCS,"Muhammad Taha 1, 2 , Nor Hadiani Ismail 1, 2 , Muhammad Ali 3 , Khalid M. Khan 4 , Waqas Jamil 5 , Syed Muhammad Kashif 5 and Mohammad Asraf 6. ...",Synthesis of indole-2-hydrazones in search of potential leishmanicidal agents,Springer Medicinal Chemistry ,,,,
NCEAC,"Taha, Muhammad; Ismail, Nor Hadiani; Jamil, Waqas; Rashwan, Hesham; Kashif, Syed Muhammad; Sain, Amyra Amat; Adenan, Mohd Ilham; Anouar, El Hassane; Ali, Muhammad; Rahim, Fazal; Khan, Khalid M.",Synthesis of novel derivatives of 4-methylbenzimidazole and evaluation of their biological activities,EUR J MED CHEM,84,10.1016/j.ejmech.2014.07.078,ISI,
NCEAC,"M Taha, NH Ismail, W Jamil, H Rashwan",Synthesis of novel derivatives of 4-methylbenzimidazole and evaluation of their biological activities, European journal ,,,,NA
Chemistry," Panhwar, Q.K. and Memon, S.",Synthesis of water soluble Cr(III)-morin complex: Characterization and antioxidant study., The Sci.World J,,,,http://www.hindawi.com/journals/tswj/
Chemistry," Panhwar, Q.K. and Memon, S.",Synthesis of water soluble Cr(III)-morin complex: Characterization and antioxidant study., The Sci.World J,,,,http://www.hindawi.com/journals/tswj/
NCEAC,"Panhwar, Qadeer K.; Memon, Shahabuddin","Synthesis, characterisation, and antioxidant study of Cr(III)-rutin complex",CHEM PAP,68,10.2478/s11696-013-0494-6,ISI,
IARSCS,"Muhammad Taha 1, 3, *, Nor Hadiani Ismail 1, 3 , El Hassane Anouar 1 , Sammer Yousuf 4 , Waqas Jamil 5 , Khalijah ","Synthesis, crystal structure, DFT studies and evaluation of the antioxidant activity of 3, 4-dimethoxybenzenamine Schiff bases","Molecules, 2014 - mdpi.com ",,,2.095,http://www.mdpi.com/journal/molecules
NCEAC,"Aziz, Ahmad Nazif; Taha, Muhammad; Ismail, Nor Hadiani; Anouar, El Hassane; Yousuf, Sammer; Jamil, Waqas; Awang, Khalijah; Ahmat, Norizan; Khan, Khalid M.; Kashif, Syed Muhammad","Synthesis, Crystal Structure, DFT Studies and Evaluation of the Antioxidant Activity of 3,4-Dimethoxybenzenamine Schiff Bases",MOLECULES,19,10.3390/molecules19068414,ISI,
Zoology,"Sultana, Riffat; Panhwar, Waheed Ali; Wagan, Muhammad Saeed; Khatri, Imran","Systematic status of true katydids Sathrophyllia (Orthoptera, Tettigonioidea, Pseudophyllinae) from Pakistan, with description of two new species",ZOOKEYS,,10.3897/zookeys.466.8423,ISI,
Zoology,"Panhwar, Waheed Ali; Sultana, Riffat; Wagan, Muhammad Saeed; Khatari, Imran; Kumar, Santosh",Systematic Study on the Various Tribes of Phaneropterinae (Tettigonioidea: Orthoptera) Occurring in Pakistan,PAK J ZOOL,46,,ISI,
SU Laar Campus,Muhammad Tufail chandio,The advent of british educational system,IRJAH,42 (42),73-98,,
SU Laar Campus,A.A. Pirzado,The electrical property of large few layer graphene flakes,Current Microwave Chemistry,"Vol: 2, 1-6 (2015)",,,
Physical Education,Dr. Muhammad Akram Ansari,The occurance of Knee injury in Badminton,The Shield,9,19-30,Y,
SU Laar Campus,Muhammad Tufail chandio,The presentation of the colonized land in: A passage to India and twilight in delhi,IRJAH,42 (42),221-222,,
,Centre of Excellence for Women’s studies University of Karachi.     ,"The Self employed women, Women Entrepreneurs and Work Polished in Pakistan,",Journal of Gender Studies ," Vol. 8, ",,,NA
,Centre of Excellence for Women’s studies University of Karachi.     ,"The Self employed women, Women Entrepreneurs and Work Polished in Pakistan,",Journal of Gender Studies ," Vol. 8, ",,,NA
Biochemistry,"Allah Bux Ghanghro*1 ,Sumera Qureshi 2 , Sikander Ali Memon2 And Faisal Qureshi 3.Www.Britishjr.Org/Index.Php/Bjr/Article/Download/32/27","Total Serum Immunoglobulin’s E Levels In Chemical Industry Workers (Site Area, Kotri, Jamshoro) Exposed With Organic Acid Anhydrides(Oaas).",British Journal Of Research,1  (3),120-123,,
NCEAC,"Junejo, Yasmeen; Baykal, Abdulhadi",Ultrarapid catalytic reduction of some dyes by reusable novel erythromycin-derived silver nanoparticles,TURK J CHEM,38,10.3906/kim-1401-24,ISI,
NCEAC,"Panhwar, Abdul Haleem; Kazi, Tasneem Gul; Afridi, Hassan Imran; Abbasi, Abdul Rasool; Arain, Muhammad Balal; Naeemullah; Arain, Salma Aslam; Arain, Sadaf Sadia; Ali, Jamshed","Ultrasonic-assisted ionic liquid-based microextraction for preconcentration and determination of aluminum in drinking water, blood and urine samples of kidney failure patients: a multivariate study",ANAL METHODS-UK,6,10.1039/c4ay01735h,ISI,
Commerce,Dr. Jawed Ahmed Chandio,Using group work with large University Class,IRJAH,,,,
NCEAC,Najma Memon and Paraskevas D. Tzanavaras,Utilization of Organized Surfactant Assemblies as Solvents in Flow Injection Analysis with emphasis to automated derivatization,"Current Analytical Chemistry, ","10 (3), ",338-348.,1.194,http://www.benthamscience.com/cac/index.htm
NCEAC,"Memon, Najma; Tzanavaras, Paraskevas D.",Utilization of Organized Surfactant Assemblies as Solvents in Flow Injection Analysis with emphasis to Automated Derivatization of Organic Analytes,CURR ANAL CHEM,10,,ISI,
NCEAC,"Qureshi, Umair A.; Solangi, Amber R.; Memon, Saima Q.; Taqvi, Syed I. Hyder",Utilization of Pine Nut Shell derived carbon as an efficient alternate for the sequestration of phthalates from aqueous system,ARAB J CHEM,7,10.1016/j.arabjc.2013.08.018,ISI,
NCEAC,"Merle, Didier; Pacaud, Jean-Michel; Metais, Gregoire; Bartolini, Annachiara; Lashari, Rafiq A.; Brohi, Imdad A.; Solangi, Sarfraz H.; Marivaux, Laurent; Welcomme, Jean-Loup","Volutidae (Mollusca: Gastropoda) of the Lakhra Formation (Earliest Eocene, Sindh, Pakistan): systematics, biostratigraphy and paleobiogeography",ZOOTAXA,3826,,ISI,
NCEAC,"S.Khan, M. Soylak, T.G. Kazi, ",Vortex assisted liquid-liquid microextraction using Triton X-114 as dispersant for ultratrace cadmium prior to its micro-sample injection flame atomic absorption spectrometric detection.,"Clean air, soil and water  doi:10.1002/clen.201300486",,,1.838,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291863-0669
NCEAC,"Khan, Sumaira; Yilmaz, Erkan; Kazi, Tasneem Gul; Soylak, Mustafa",Vortex Assisted Liquid-Liquid Microextraction Using Triton X-114 for Ultratrace Cadmium Prior to Analysis,CLEAN-SOIL AIR WATER,42,10.1002/clen.201300486,ISI,
Commerce,"Jamali, N.M, Jhatial, A.A, & Chang, R.",Women Enterpreneurship and Empowerment,Grassroots,"48, No. II",1-14,Y,
Chemistry,Dr Zahid Hussain Shar ,Z. H. Shar et al. ,"Chromatographia, ","2014, 77, 337–346",,,
Chemistry,Dr Zahid Hussain Shar ,Z. H. Shar et al. ,Food Additives & Contaminants: ,"Part B, 2014, 1-6",,,
Chemistry,Dr Zahid Hussain Shar ,Z. H. Shar et al. ,Journal of Science and Food Agriculture ,-2015,,,
Chemistry,Dr Zahid Hussain Shar ,Z. H. Shar et al. ,"Mycotoxin Research, ","2015, 31, 1-7",,,
